"indicador"|"idn212"|"te"|"riest"|"significativamente_sup_uno"|"quintil"|"color"|"n_area"
"Angina_HPE"|"280"|0.0|0.0|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Aran"
"Angina_HPE"|"156"|0.5239|0.3093589|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Toledo"
"Angina_HPE"|"214"|0.565|0.3419913|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Almeria"
"Angina_HPE"|"262"|0.5681|0.32665864|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Centro-Oeste"
"Angina_HPE"|"277"|0.5748|0.17308751|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Alt Urgell"
"Angina_HPE"|"321"|0.6417|0.32636464|"#b2abd2"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Arabako Errioxa"
"Angina_HPE"|"34"|0.6689|0.36934257|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Barbastro"
"Angina_HPE"|"99"|0.669|0.34704888|"#b2abd2"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"La Gomera"
"Angina_HPE"|"59"|0.6735|0.4228881|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Denia"
"Angina_HPE"|"255"|0.7495|0.43111947|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Son Dureta"
"Angina_HPE"|"267"|0.7989|0.4719276|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Araba"
"Angina_HPE"|"260"|0.8856|0.5134761|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Norte"
"Angina_HPE"|"259"|0.8881|0.52257276|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Noreste"
"Angina_HPE"|"256"|0.8923|0.5280339|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Sur-Este"
"Angina_HPE"|"257"|0.893|0.5172614|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Centro-Norte"
"Angina_HPE"|"266"|0.9123|0.5344537|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Sur II"
"Angina_HPE"|"210"|0.9457|0.57651395|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Jaen Sur"
"Angina_HPE"|"261"|0.9718|0.55808514|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Oeste"
"Angina_HPE"|"269"|1.0748|0.63254035|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Barrualde-Galdakao"
"Angina_HPE"|"219"|1.131|0.6594637|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Cordoba"
"Angina_HPE"|"239"|1.1414|0.6583421|"#b2abd2"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"A. G. S. Serrania de Malaga"
"Angina_HPE"|"39"|1.1442|0.63818747|"#b2abd2"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Teruel"
"Angina_HPE"|"240"|1.1504|0.70285994|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Metropolitano de Granada"
"Angina_HPE"|"264"|1.1526|0.69040006|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Sur-Oeste II"
"Angina_HPE"|"147"|1.2003|0.7102256|"#fdb863"|"Q1 (0.0 - 1.43)"|"#ffffd4"|"Santander"
