"indicador"|"zbs"|"te"|"riest"|"significativamente_sup_uno"|"quintil"|"color"|"n_zbs"
"EPOC_HPE"|"20603"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"SOS DEL REY CATOLICO"
"EPOC_HPE"|"20811"|0.0|0.0|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"SANTA EULALIA DEL CAMPO"
"EPOC_HPE"|"30223"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"DEGANA"
"EPOC_HPE"|"30443"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"SOMIEDO"
"EPOC_HPE"|"150417"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"MIRA"
"EPOC_HPE"|"150503"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"ATIENZA"
"EPOC_HPE"|"150508"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"CHECA"
"EPOC_HPE"|"150514"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"GALVE SORBE"
"EPOC_HPE"|"150721"|0.0|0.0|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"TOLEDO 1-SILLERIA"
"EPOC_HPE"|"150729"|0.0|0.0|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"BUENAVISTA"
"EPOC_HPE"|"161116"|0.0|0.0|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"GENERAL RICARDOS-OPANEL-SANISIDRO"
"EPOC_HPE"|"80105"|0.0|0.0|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"LESAKA"
"EPOC_HPE"|"70307"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"LA GRACIOSA"
"EPOC_HPE"|"120572"|1.166|0.065641396|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"VALDEFUENTES"
"EPOC_HPE"|"50601"|1.4322|0.1303563|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"ADEMUZ"
"EPOC_HPE"|"12502"|1.4695|0.1260931|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"LA LUISIANA"
"EPOC_HPE"|"150428"|1.5678|0.23058811|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"TORREJONCILLO REY"
"EPOC_HPE"|"12311"|1.6327|0.15514423|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"POZO ALCON"
"EPOC_HPE"|"20254"|1.6847|0.14762521|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"MEQUINENZA"
"EPOC_HPE"|"30111"|1.8875|0.34733865|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"TARAMUNDI"
"EPOC_HPE"|"30113"|1.9248|0.30018023|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"GRANDAS DE SALIME-PESOZ"
"EPOC_HPE"|"150703"|1.9809|0.13748842|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"TOLEDO 3-BENQUERENCIA"
"EPOC_HPE"|"150513"|2.0464|0.426383|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"EL POBO DE DUENAS"
"EPOC_HPE"|"50103"|2.0751|0.17976764|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"FORCALL"
"EPOC_HPE"|"120568"|2.2753|0.20481452|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"SALORINO"
"EPOC_HPE"|"150719"|2.2839|0.20708813|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"TOLEDO 4-SANTA BARBARA"
"EPOC_HPE"|"653083"|2.3487|0.12718755|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"BESALU"
"EPOC_HPE"|"70509"|2.3737|0.1964187|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"TIJARAFE"
"EPOC_HPE"|"11601"|2.4295|0.2146678|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"HUESCAR"
"EPOC_HPE"|"70501"|2.4808|0.21477383|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"EL PASO"
"EPOC_HPE"|"13109"|2.5818|0.25630257|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"CENES DE LA VEGA"
"EPOC_HPE"|"150426"|2.5982|0.18397118|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"TALAYUELAS"
"EPOC_HPE"|"20104"|3.1701|0.32647142|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"BROTO"
"EPOC_HPE"|"20106"|3.3452|0.4560092|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"HECHO"
"EPOC_HPE"|"50801"|3.374|0.32812893|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"AYORA"
"EPOC_HPE"|"10907"|3.4136|0.28746998|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"VEJER DE LA FRONTERA"
"EPOC_HPE"|"70605"|3.4235|0.34121633|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"VALLEHERMOSO"
"EPOC_HPE"|"120557"|3.4918|0.2548741|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"ARROYO DE LA LUZ"
"EPOC_HPE"|"50206"|3.562|0.2532038|"#fdb863"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"BENLLOCH"
"EPOC_HPE"|"20208"|3.5832|0.37853622|"#b2abd2"|"Q1 (0.0 - 10.17)"|"#ffffd4"|"CASTEJON DE SOS"
