"indicador"|"idn212"|"te"|"riest"|"significativamente_sup_uno"|"quintil"|"color"|"n_area"
"CHF_HPE"|"99"|5.8421|0.33076385|"#fdb863"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"La Gomera"
"CHF_HPE"|"156"|8.7431|0.5331734|"#fdb863"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Toledo"
"CHF_HPE"|"301"|11.7371|0.5850557|"#fdb863"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Garrotxa"
"CHF_HPE"|"216"|12.8583|0.7872887|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"A. G. S. Norte de Malaga"
"CHF_HPE"|"294"|13.3262|0.65369326|"#fdb863"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Barcelona Esquerra"
"CHF_HPE"|"141"|13.7619|0.8438866|"#fdb863"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Oviedo"
"CHF_HPE"|"217"|13.9283|0.8490359|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"A.G.S. Este de Malaga-Axarqua"
"CHF_HPE"|"232"|14.1711|0.8717402|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Jaen Nordeste"
"CHF_HPE"|"101"|14.2134|0.8757716|"#fdb863"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Pamplona"
"CHF_HPE"|"111"|14.3853|0.8763159|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Menorca"
"CHF_HPE"|"279"|14.9701|0.72840124|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Pallars"
"CHF_HPE"|"259"|15.0402|0.9273787|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Noreste"
"CHF_HPE"|"103"|15.2044|0.9524685|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Estella"
"CHF_HPE"|"262"|15.2104|0.93131465|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Centro-Oeste"
"CHF_HPE"|"255"|15.3188|0.94131565|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Son Dureta"
"CHF_HPE"|"318"|15.4685|0.7633541|"#fdb863"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Barcelona Dreta"
"CHF_HPE"|"51"|15.9257|0.97996217|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Valencia-Clinico"
"CHF_HPE"|"215"|16.0051|0.9812464|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"A.G.S. Norte de Huelva"
"CHF_HPE"|"261"|16.02|0.98590285|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Oeste"
"CHF_HPE"|"224"|16.0349|0.98777866|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Malaga"
"CHF_HPE"|"229"|16.5929|1.033856|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"A. G. S. Norte de Almeria"
"CHF_HPE"|"296"|16.7692|0.81272686|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Altebrat"
"CHF_HPE"|"65"|17.186|1.0573456|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Alicante-General"
"CHF_HPE"|"298"|17.6306|0.8680691|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Montsia"
"CHF_HPE"|"304"|17.6546|0.8688259|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Selva Maritima"
"CHF_HPE"|"61"|17.8805|1.101108|"#b2abd2"|"Q1 (5.84 - 21.97)"|"#ffffd4"|"Alcoy"
