"indicador"|"idn212"|"te"|"riest"|"significativamente_sup_uno"|"quintil"|"color"|"n_area"
"CHF_HPE"|"301"|34.4658|0.33708835|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Garrotxa"
"CHF_HPE"|"216"|52.0485|0.5745118|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"A. G. S. Norte de Malaga"
"CHF_HPE"|"217"|54.4522|0.6032301|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"A.G.S. Este de Malaga-Axarqua"
"CHF_HPE"|"232"|55.4435|0.60962427|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Jaen Nordeste"
"CHF_HPE"|"215"|59.3487|0.64403075|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"A.G.S. Norte de Huelva"
"CHF_HPE"|"156"|63.8117|0.7023587|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Toledo"
"CHF_HPE"|"230"|64.3179|0.7102147|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Jaen Norte"
"CHF_HPE"|"229"|65.5761|0.7188561|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"A. G. S. Norte de Almeria"
"CHF_HPE"|"278"|71.5894|0.698364|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Cerdanya"
"CHF_HPE"|"224"|71.8871|0.80049884|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Malaga"
"CHF_HPE"|"143"|73.3365|0.7960739|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Arriondo-Cangas de Onis"
"CHF_HPE"|"157"|74.5807|0.8205453|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Puertollano-Almadena"
"CHF_HPE"|"222"|76.5993|0.85280985|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"A. G. S. Sur de Granada"
"CHF_HPE"|"293"|76.6728|0.80566895|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Alta Ribagorza"
"CHF_HPE"|"283"|77.9587|0.7665491|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Baix Camp i Priorat"
"CHF_HPE"|"111"|78.8596|0.8725624|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Menorca"
"CHF_HPE"|"103"|79.6773|0.890031|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Estella"
"CHF_HPE"|"288"|79.7553|0.79268014|"#fdb863"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Baix Llobregat Centre i Fontsanta -L' H N"
"CHF_HPE"|"255"|81.5808|0.90418243|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Son Dureta"
"CHF_HPE"|"304"|82.9481|0.83763325|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Selva Maritima"
"CHF_HPE"|"239"|84.7187|0.94149166|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"A. G. S. Serrania de Malaga"
"CHF_HPE"|"155"|85.0724|0.9360339|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Talavera de la Reina"
"CHF_HPE"|"298"|86.6555|0.85784644|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Montsia"
"CHF_HPE"|"227"|87.8861|0.96985066|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Jaen"
"CHF_HPE"|"240"|88.6062|0.97539514|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Metropolitano de Granada"
"CHF_HPE"|"280"|89.6268|0.8773368|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Aran"
"CHF_HPE"|"297"|89.9401|0.88756734|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Baix Ebre"
"CHF_HPE"|"96"|90.3237|1.0264018|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Lanzarote"
"CHF_HPE"|"305"|92.7921|0.9110441|"#b2abd2"|"Q3 (30.24 - 92.96)"|"#fe9929"|"Girones Nord i Pla de l'Estany"
"CHF_HPE"|"51"|95.031|1.0524081|"#b2abd2"|"Q4 (92.96 - 137.49)"|"#d95f0e"|"Valencia-Clinico"
"CHF_HPE"|"209"|95.3599|1.028676|"#b2abd2"|"Q4 (92.96 - 137.49)"|"#d95f0e"|"Torrevieja"
"CHF_HPE"|"296"|95.4057|0.90189624|"#b2abd2"|"Q4 (92.96 - 137.49)"|"#d95f0e"|"Altebrat"
"CHF_HPE"|"316"|95.4889|0.94692117|"#b2abd2"|"Q4 (92.96 - 137.49)"|"#d95f0e"|"Baix Valles"
"CHF_HPE"|"294"|95.5979|0.9517797|"#b2abd2"|"Q4 (92.96 - 137.49)"|"#d95f0e"|"Barcelona Esquerra"
"CHF_HPE"|"234"|96.2019|1.0686597|"#b2abd2"|"Q4 (92.96 - 137.49)"|"#d95f0e"|"A. G. S. de Osuna"
"CHF_HPE"|"300"|96.3618|0.9520353|"#b2abd2"|"Q4 (92.96 - 137.49)"|"#d95f0e"|"Baix Emporda"
"CHF_HPE"|"134"|97.0685|1.0654811|"#b2abd2"|"Q4 (92.96 - 137.49)"|"#d95f0e"|"Caceres"
