"indicador"|"idn212"|"te"|"riest"|"significativamente_sup_uno"|"quintil"|"color"|"n_area"
"Angina_HPE"|"280"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Aran"
"Angina_HPE"|"99"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"La Gomera"
"Angina_HPE"|"321"|0.0|0.0|"#b2abd2"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Arabako Errioxa"
"Angina_HPE"|"214"|0.6229|0.30995917|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Almeria"
"Angina_HPE"|"156"|0.7672|0.36872536|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Toledo"
"Angina_HPE"|"255"|0.7933|0.36129886|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Son Dureta"
"Angina_HPE"|"262"|0.8072|0.38711414|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Centro-Oeste"
"Angina_HPE"|"210"|0.82|0.40305096|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Jaen Sur"
"Angina_HPE"|"260"|0.9655|0.45778826|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Norte"
"Angina_HPE"|"59"|0.9977|0.5055833|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Denia"
"Angina_HPE"|"267"|1.0094|0.48943073|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Araba"
"Angina_HPE"|"39"|1.0235|0.44240716|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Teruel"
"Angina_HPE"|"266"|1.0613|0.5179592|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Sur II"
"Angina_HPE"|"256"|1.0707|0.5216897|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Sur-Este"
"Angina_HPE"|"34"|1.0783|0.48176542|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Barbastro"
"Angina_HPE"|"257"|1.0792|0.51924896|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Centro-Norte"
"Angina_HPE"|"259"|1.1026|0.5477673|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Noreste"
"Angina_HPE"|"264"|1.1456|0.58628535|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Sur-Oeste II"
"Angina_HPE"|"219"|1.1872|0.5634118|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Cordoba"
"Angina_HPE"|"261"|1.1906|0.5593289|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Oeste"
"Angina_HPE"|"277"|1.2089|0.28829256|"#b2abd2"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Alt Urgell"
"Angina_HPE"|"268"|1.2166|0.5902269|"#b2abd2"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Debagoiena"
"Angina_HPE"|"240"|1.248|0.6374194|"#fdb863"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"Metropolitano de Granada"
"Angina_HPE"|"112"|1.2802|0.66663194|"#b2abd2"|"Q1 (0.0 - 1.29)"|"#ffffd4"|"IbizaFor"
"Angina_HPE"|"147"|1.3577|0.6586145|"#fdb863"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Santander"
"Angina_HPE"|"224"|1.363|0.6670239|"#fdb863"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Malaga"
"Angina_HPE"|"229"|1.3707|0.634912|"#fdb863"|"Q2 (1.29 - 2.18)"|"#fed98e"|"A. G. S. Norte de Almeria"
"Angina_HPE"|"235"|1.3746|0.6879168|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Guadalquivir"
"Angina_HPE"|"101"|1.4161|0.6804354|"#fdb863"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Pamplona"
"Angina_HPE"|"269"|1.4318|0.69030535|"#fdb863"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Barrualde-Galdakao"
"Angina_HPE"|"227"|1.4957|0.6964358|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Jaen"
"Angina_HPE"|"239"|1.4974|0.722082|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"A. G. S. Serrania de Malaga"
"Angina_HPE"|"232"|1.5988|0.75265574|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Jaen Nordeste"
"Angina_HPE"|"135"|1.6218|0.8270067|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Coria"
"Angina_HPE"|"258"|1.6454|0.81275374|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Este"
"Angina_HPE"|"37"|1.6473|0.79480463|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Zaragoza III-Clinico"
"Angina_HPE"|"133"|1.7076|0.85301644|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Llerena-Zafra"
"Angina_HPE"|"155"|1.7647|0.8175883|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Talavera de la Reina"
"Angina_HPE"|"134"|1.7908|0.8377997|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Caceres"
"Angina_HPE"|"281"|1.8251|0.5114598|"#fdb863"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Lleida"
"Angina_HPE"|"97"|1.8284|0.90118784|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Tenerife"
"Angina_HPE"|"65"|1.9044|0.9143943|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Alicante-General"
"Angina_HPE"|"36"|1.9869|0.98146886|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Zaragoza II-Miguel Servet"
"Angina_HPE"|"100"|2.0003|1.00143|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"El Hierro"
"Angina_HPE"|"294"|2.0248|0.6038872|"#fdb863"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Barcelona Esquerra"
"Angina_HPE"|"265"|2.058|0.9907511|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Sur I"
"Angina_HPE"|"209"|2.0779|0.9321797|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Torrevieja"
"Angina_HPE"|"42"|2.084|1.0365828|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Bilbo"
"Angina_HPE"|"152"|2.1182|1.0113178|"#b2abd2"|"Q2 (1.29 - 2.18)"|"#fed98e"|"Ciudad Real"
"Angina_HPE"|"51"|2.1827|1.0529325|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Valencia-Clinico"
"Angina_HPE"|"245"|2.2502|1.0651588|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Inca"
"Angina_HPE"|"272"|2.256|1.0958345|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Goierri-Urol"
"Angina_HPE"|"250"|2.3211|1.0251452|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Cartagena"
"Angina_HPE"|"222"|2.3462|1.1444491|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"A. G. S. Sur de Granada"
"Angina_HPE"|"153"|2.4285|1.1212268|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Cuenca"
"Angina_HPE"|"106"|2.4337|1.1346709|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Lorca"
"Angina_HPE"|"318"|2.4972|0.72045976|"#fdb863"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Barcelona Dreta"
"Angina_HPE"|"283"|2.5023|0.7132766|"#fdb863"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Baix Camp i Priorat"
"Angina_HPE"|"249"|2.5319|1.1406322|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Murcia Oeste"
"Angina_HPE"|"154"|2.5341|1.217237|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Guadalajara"
"Angina_HPE"|"142"|2.6653|1.243571|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Gijon"
"Angina_HPE"|"241"|2.6794|1.2859192|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Sevilla"
"Angina_HPE"|"243"|2.7425|1.313232|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Manacor"
"Angina_HPE"|"242"|2.7642|1.3014216|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Sierra de Cadiz"
"Angina_HPE"|"94"|2.827|1.3656849|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Gran Canaria"
"Angina_HPE"|"206"|2.8285|1.3646189|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Castellon"
"Angina_HPE"|"141"|2.8652|1.3440046|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Oviedo"
"Angina_HPE"|"289"|2.9505|0.83861107|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"L'Hospitalet Sud i el Prat de Llobregat"
"Angina_HPE"|"62"|2.951|1.4317342|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"LaVila-Benidorm"
"Angina_HPE"|"274"|3.0|1.4461974|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Donostialdea"
"Angina_HPE"|"293"|3.039|0.8722617|"#b2abd2"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Alta Ribagorza"
"Angina_HPE"|"64"|3.0421|1.458209|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Elda"
"Angina_HPE"|"212"|3.1524|1.4914296|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"A. G. S. Campo de Gibraltar"
"Angina_HPE"|"276"|3.1557|1.4755101|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Elche-Crevillente"
"Angina_HPE"|"150"|3.161|1.5211374|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Albacete"
"Angina_HPE"|"217"|3.1793|1.5124723|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"A.G.S. Este de Malaga-Axarqua"
"Angina_HPE"|"102"|3.2026|1.5391641|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"Tudela"
"Angina_HPE"|"216"|3.2073|1.5180255|"#7e58bf"|"Q3 (2.18 - 3.24)"|"#fe9929"|"A. G. S. Norte de Malaga"
"Angina_HPE"|"244"|3.2526|1.4772831|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Son Llatzer"
"Angina_HPE"|"60"|3.2697|1.547414|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Xativa"
"Angina_HPE"|"35"|3.27|1.538606|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Zaragoza I-Royo Villanova"
"Angina_HPE"|"56"|3.323|1.5936185|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Valencia-Peset"
"Angina_HPE"|"139"|3.3249|0.9765377|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Cangas de Nacea"
"Angina_HPE"|"103"|3.3648|1.6968907|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Estella"
"Angina_HPE"|"137"|3.3823|1.523693|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Plasencia"
"Angina_HPE"|"305"|3.3845|0.9628999|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Girones Nord i Pla de l'Estany"
"Angina_HPE"|"253"|3.3876|1.4646584|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Mar Menor"
"Angina_HPE"|"248"|3.4304|1.6649046|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Manises"
"Angina_HPE"|"207"|3.4466|1.6402149|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"La Plana"
"Angina_HPE"|"47"|3.466|1.6693677|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Uribe"
"Angina_HPE"|"254"|3.4709|1.4876022|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Vega Alta del Segura"
"Angina_HPE"|"288"|3.5458|1.0079224|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Baix Llobregat Centre i Fontsanta -L' H N"
"Angina_HPE"|"108"|3.5949|1.7902385|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Altiplano-Yecla-Jumilla"
"Angina_HPE"|"271"|3.6139|1.819774|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Debabarrena"
"Angina_HPE"|"287"|3.6422|1.0589796|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Osona"
"Angina_HPE"|"290"|3.6545|1.0390282|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Barcelones Nord i Baix Maresme"
"Angina_HPE"|"296"|3.7461|1.1014912|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Altebrat"
"Angina_HPE"|"215"|3.7521|1.7908965|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"A.G.S. Norte de Huelva"
"Angina_HPE"|"275"|3.7792|1.8279623|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Bidasoa"
"Angina_HPE"|"149"|3.796|1.8358725|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Torrelavega"
"Angina_HPE"|"144"|3.8046|1.6970251|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Mieres"
"Angina_HPE"|"130"|3.8844|1.849954|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Badajoz"
"Angina_HPE"|"38"|3.9106|1.869195|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Calatayud"
"Angina_HPE"|"228"|3.941|1.857316|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Jerez-Costa Noroeste"
"Angina_HPE"|"33"|3.9414|1.9752637|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Huesca-Jaca"
"Angina_HPE"|"66"|4.0418|1.9623853|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Elche"
"Angina_HPE"|"270"|4.1473|2.0209372|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Ezkerraldea-Enkarterri-CR"
"Angina_HPE"|"226"|4.1799|1.9686176|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Huelva-Costa"
"Angina_HPE"|"50"|4.2666|2.0209281|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Sagunto"
"Angina_HPE"|"61"|4.2764|2.0129673|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Alcoy"
"Angina_HPE"|"237"|4.3728|1.9404744|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Poniente de Almeria"
"Angina_HPE"|"295"|4.3946|1.2663507|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Barcelona Nord"
"Angina_HPE"|"300"|4.3984|1.258107|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Baix Emporda"
"Angina_HPE"|"136"|4.4646|2.074448|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Navalmoral de la Mata"
"Angina_HPE"|"213"|4.4672|2.0898864|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Aljarafe"
"Angina_HPE"|"298"|4.4698|1.303577|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Montsia"
"Angina_HPE"|"314"|4.4712|1.2655672|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Valles Occidental Oest"
"Angina_HPE"|"247"|4.5117|2.1770444|"#7e58bf"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Valencia-La Fe"
"Angina_HPE"|"282"|4.6109|1.319604|"#b2abd2"|"Q4 (3.24 - 4.77)"|"#d95f0e"|"Alt Camp i Conca de Barbera"
